Country,"Total Number of people with MS, 2008","Prevalence of MS, 2008","Incidence of MS, 2008","Mean age of onset, 2008","Male / Female Ratio, 2008 (NB: in the 2013 we use Female/Male ratio so not comparible)"
Afghanistan,1500,4,2.5,NOT KNOWN,1
Albania,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Algeria,7500,10,1,30,2
Andorra,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Angola,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Anguilla,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Antigua and Barbuda,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Argentina,6000,18,2.1,24.5,2
Armenia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Aruba,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Australia,16081,78,3,33.7,3
Austria,8000,100,3,29,2
Azerbaijan,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Bahamas,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Bahrain,90,13,1.5,25,2
Bangladesh,,,NOT KNOWN,25,2
Barbados,70,26.3,1.13,NOT KNOWN,2
Belarus,4700,47,NOT KNOWN,24,4
Belgium,9093,88,4.2,30,1.4
Belize,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Benin,0,0,0,NOT KNOWN,NOT KNOWN
Bhutan,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Bolivia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Bosnia and Herzegovina,1300,80,5,32,2
Botswana,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Brazil,30000,18,NO DATA PROVIDED,28,2
Brunei Darussalam,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Bulgaria,4000,44.5,1.03,30,1.25
Burkina Faso,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Burundi,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Cambodia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Cameroon,30,0.2,NO DATA PROVIDED,22.5,3
Canada,50000,240,3.5,24.5,2
Cape Verde,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Cayman Islands,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Central African Republic,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Chad,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Chile,2500,11.7,1.8,39,3
China,25000,1.45,0.95,30.8,1.63
Colombia,2000,5,NO DATA PROVIDED,32.2,2.4
Comoros,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
"Congo, Republic of the",,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Cook Islands,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Costa Rica,300,4.25,7.5,25,3
Croatia,3500,87.5,NOT KNOWN,31,3
Cuba,2000,10,NOT KNOWN,32,2.5
Cyprus,800,110,4,30,1.5
Czech Republic,13000,130,1.5,30,1.86
Democratic People's Republic of Korea,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Democratic Republic of the Congo,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Denmark,7500,122,5.9,NO DATA PROVIDED,NO DATA PROVIDED
Djibouti,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Dominica,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Dominican Republic,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Ecuador,159,1.2,NOT KNOWN,33,2.5
Egypt,,30,NOT KNOWN,28,1.6
El Salvador,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Equatorial Guinea,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Eritrea,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Estonia,1500,100,NOT KNOWN,24.5,2
Ethiopia,40,,NO DATA PROVIDED,35,NO DATA PROVIDED
Fiji,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Finland,6000,100,5,31.5,2.4
France,80000,80,NO DATA PROVIDED,30,2.5
French Guyana,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Gabon,,,NOT KNOWN,NOT KNOWN,NOT KNOWN
Gambia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Georgia,1300,33,1.8,27.5,1.78
Germany,122000,149,2.85,30.2,1.5
Ghana,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Greece,9000,78,4,31,1.64
Grenada,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Guadaloupe,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Guatemala,300,2.5,0.08,30,5
Guinea,12,0.13,0.01,30,5
Guyana,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Haiti,,,NOT KNOWN,NOT KNOWN,NOT KNOWN
Honduras,200,3,0.07,24,5
Hong Kong,50,0.77,0.2,27.8,NO DATA PROVIDED
Hungary,20000,176,9.82,34,1.68
Iceland,320,110,10,29,1.6
India,30000,3,NOT KNOWN,28.3,1.35
Indonesia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Iran,40000,30,NO DATA PROVIDED,27,2.5
Iraq,1500,6,0.25,30,1.7
Ireland,10000,100,NO DATA PROVIDED,32.5,3
Israel,3300,60,2.06,25,2
Italy,54000,90,3,25,2
Jamaica,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Japan,10000,8,NO DATA PROVIDED,32.5,4
Jordan,2000,39,1.2,25,2.5
Kazakhstan,1500,5,3,18.5,3
Kenya,100,,NOT KNOWN,23.6,3.5
Kiribati,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Kuwait,500,14.8,2.6,26,2
Kyrgyzstan,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Lao People's Democratic Republic,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Latvia,2500,50,4,24.5,1.5
Lebanon,1000,25,NO DATA PROVIDED,27,2
Lesotho,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Liberia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Libya,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Liechtenstein,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Lithuania,4629,65,6,25,2
Luxembourg,450,101,NO DATA PROVIDED,33.4,3
Madagascar,,,NOT KNOWN,NOT KNOWN,NOT KNOWN
Malawi,10,0.4,0.1,NOT KNOWN,NOT KNOWN
Malaysia,500,,NOT KNOWN,31,6
Maldives,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Mali,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Malta,110,25,4,31,2
Marshall Islands,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Martinique,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Mauritania,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Mauritius,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Mexico,6800,9,NO DATA PROVIDED,28,2
Micronesia,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Moldova,1750,50,4,26,1.5
Monaco,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Mongolia,100,5,NOT KNOWN,39,7
Montenegro,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Montserrat,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Morocco,6000,20,NOT KNOWN,30,1.5
Mozambique,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Myanmar,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
Namibia,17,,NOT KNOWN,45,3
Nauru,,,NO DATA PROVIDED,NO DATA PROVIDED,NO DATA PROVIDED
