Country,Number of people with MS,Prevalence of MS,Incidence of MS,Female/male ratio,Mean age of onset,Is data available for the incidence and/or prevalence of MS in different regions within the country?,Is data available for the incidence and/or prevalence of MS within different ethnic groups in the country?,% Relapsing Remitting MS,% Primary Progressive MS,% Progressive Relapsing MS,Number with pediatric MS,Pediatric Prevalence,Pediatric Incidence,
Albania,658,22,0,1.82,0,Yes,No,82,11,7,84,2.62012,0,2.5
Algeria,7000,20,0,1.8,0,,,,,,,,,
Argentina,8000,18,1,1.66,33,Yes,No,82,15,3,Pediatric Female/Male ratio,0.21,0,0
Armenia,0,0,0,0,0,,,,,,,,,
Australia,21283,95.6,3.8,2.06,37.6,Yes,No,0,0,0,65,2.88,0.02,0
Austria,11400,140,0,2.33,32.5,No,No,85,7,0,50,0.58,0.15,0
Bahrain,230,35,0,2.29,0,No,No,85,5,10,2,0.15,0,0
Bangladesh,0,0,0,0,0,,,,,,,,,
Belgium,12000,100,4,2,30,No,No,80,15,5,40,0.36,0,2.07
Bolivia,65,1.5,0.25,1.95,28.2,No,No,0,0,0,0,0,0,0
Bosnia and Herzegovina,2340,60,12,1.5,31,,,,,,,,,
Brazil,30000,15,0,2.65,0,Yes,No,0,0,0,0,0,0,0
Bulgaria,4250,39.1,3.5,0,0,No,No,70,10,0,258,3.5,0,0
Cameroon,4,0.018,0,3,37.75,,,,,,,,,
Canada,97366,291,13.4,2.66,31,Yes,Yes,85,15,0,200,0.56,,0
China,20000,1.5,0,3,30,Yes,No,,,,,,,
Colombia,2300,4.9,0,2.29,20,Yes,No,,,,,,,
Costa Rica,285,5.4,0,2.35,35,No,No,73,4,23,0,0,0,0
Cote d'Ivoire,0,0,0,0,30,,,,,,,,,
Croatia,4000,59,0,2.7,32,,,,,,,,,
Cuba,1500,14,0,1.5,0,,,,,,,,,
Cyprus,1600,175,6,1.22,30,,,,,,,,,
Czech Republic,16000,160,11,2.45,31.9,No,No,0,0,0,57,0.53,0,0
Democratic Republic of the Congo,0,0,0,0,0,,,,,,,,,
Denmark,12827,227,7.89,2.15,34.1,No,No,79.8,20.2,0,29,0.52,0.38,2.63
Dominican Republic,,,,,,,,,,,,,,
Ecuador,487,3.2,0,,,,,,,,,,,
Egypt,20000,25,0,1.5,28,Yes,No,73,17,10,0,0,0,0
Estonia,1107,82,10,,44,No,No,90,10,0,9,1,0,
Ethiopia,0,0,0,0,0,,,,,,,,,
Finland,7000,105,9,1.92,31.7,Yes,No,93,7,0,0,0,0,0
France,60000,94.7,7.6,2.33,29.4,Yes,No,85,9,6,840,7,0,2.53
Germany,130000,149,5,2.33,31.4,No,No,87,9,2,0,0,0.3,1.2
Ghana,63,0.24,0,3.2,30,No,No,30,40,30,0,0,0,0
